symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason,side
AAPL,strategy10_scalp,2026-07-23,09:37:00,10:31:00,321.89,322.1521,62,323.9059,0.0,-16.25,-0.13,trail_stop,pdl_break_retest_short,short
AAPL,strategy10_scalp,2026-07-23,12:29:00,13:50:00,320.385,321.3359,62,321.366,0.0,-58.96,-0.969,trail_stop,orl_break_retest_short,short
AAPL,strategy10_scalp,2026-07-24,09:33:00,12:49:00,324.92,332.955,61,322.905,0.0,490.14,3.988,trail_stop,pdh_break_retest_long,long
AMD,strategy10_scalp,2026-07-23,09:43:00,09:58:00,555.285,548.434,36,548.444,0.0,-246.64,-1.001,stop,orh_break_retest_long,long
AMD,strategy10_scalp,2026-07-23,11:17:00,12:25:00,539.99,544.1859,37,545.536,0.0,-155.25,-0.757,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-24,09:41:00,10:58:00,537.02,529.659,37,543.719,0.0,272.36,1.099,trail_stop,orl_break_retest_short,short
AMD,strategy10_scalp,2026-07-24,15:08:00,15:50:00,521.385,524.165,38,528.149,0.0,-105.64,-0.411,eod_flat,pdl_break_retest_short,short
AMZN,strategy10_scalp,2026-07-23,10:08:00,11:58:00,235.1301,233.51,85,236.3664,0.0,137.71,1.31,trail_stop,orl_break_retest_short,short
AMZN,strategy10_scalp,2026-07-24,10:01:00,10:59:00,232.44,233.0398,86,233.5998,0.0,-51.59,-0.517,trail_stop,orl_break_retest_short,short
GOOGL,strategy10_scalp,2026-07-23,10:08:00,11:38:00,319.72,317.951,62,321.041,0.0,109.68,1.339,trail_stop,orl_break_retest_short,short
GOOGL,strategy10_scalp,2026-07-24,10:11:00,10:30:00,320.975,319.491,62,319.501,0.0,-92.01,-1.007,stop,orh_break_retest_long,long
META,strategy10_scalp,2026-07-23,09:47:00,09:57:00,613.565,608.5502,32,608.5602,0.0,-160.47,-1.002,stop,orh_break_retest_long,long
META,strategy10_scalp,2026-07-23,10:44:00,11:58:00,604.775,602.3798,33,608.5498,0.0,79.04,0.635,trail_stop,orl_break_retest_short,short
META,strategy10_scalp,2026-07-24,10:00:00,10:20:00,601.82,604.913,33,604.903,0.0,-102.07,-1.003,stop,orl_break_retest_short,short
MSFT,strategy10_scalp,2026-07-24,09:55:00,11:00:00,382.13,384.549,52,384.539,0.0,-125.79,-1.004,stop,orl_break_retest_short,short
NVDA,strategy10_scalp,2026-07-23,10:52:00,12:02:00,207.6187,208.354,96,209.394,0.0,-70.59,-0.414,trail_stop,orl_break_retest_short,short
NVDA,strategy10_scalp,2026-07-24,12:08:00,12:30:00,211.32,210.3678,94,210.3778,0.0,-89.5,-1.011,stop,pdh_break_retest_long,long
NVDA,strategy10_scalp,2026-07-24,14:43:00,15:34:00,206.4499,206.0859,96,207.2209,0.0,34.95,0.472,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-07-23,09:40:00,09:51:00,696.62,695.211,28,695.221,0.0,-39.45,-1.007,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2026-07-23,10:49:00,11:56:00,692.675,691.289,28,693.819,0.0,38.81,1.212,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-07-24,09:49:00,10:57:00,688.5598,687.267,29,690.597,0.0,37.49,0.635,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2026-07-24,11:07:00,11:11:00,686.68,688.887,29,688.877,0.0,-64.0,-1.005,stop,pdl_break_retest_short,short
SPY,strategy10_scalp,2026-07-23,09:42:00,09:48:00,741.84,740.995,26,741.005,0.0,-21.97,-1.012,stop,orh_break_retest_long,long
SPY,strategy10_scalp,2026-07-23,10:54:00,12:02:00,738.13,738.035,27,738.835,0.0,2.57,0.135,trail_stop,orl_break_retest_short,short
SPY,strategy10_scalp,2026-07-24,09:55:00,10:09:00,737.82,739.165,27,739.155,0.0,-36.31,-1.007,stop,orl_break_retest_short,short
SPY,strategy10_scalp,2026-07-24,11:00:00,12:40:00,740.6,742.065,27,738.765,0.0,39.55,0.798,trail_stop,orh_break_retest_long,long
TSLA,strategy10_scalp,2026-07-23,09:45:00,11:46:00,334.27,322.077,59,336.417,0.0,719.39,5.679,trail_stop,orl_break_retest_short,short
TSLA,strategy10_scalp,2026-07-24,09:57:00,15:44:00,315.775,310.8575,63,320.1375,0.0,309.8,1.127,trail_stop,orl_break_retest_short,short
TSLA,strategy10_scalp,2026-07-24,15:47:00,15:50:00,310.43,310.96,62,318.3725,0.0,-32.86,-0.067,eod_flat,pdl_break_retest_short,short
